popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
95,-3.998,0.0,0.816,0.65,0.372,0.099,136.048
74,-5.138999999999999,1.31e-05,0.815,0.5710000000000001,0.275,0.267,109.989
77,-4.0360000000000005,2.28e-05,0.7509999999999999,0.349,0.133,0.3979999999999999,105.031
45,-1.49,0.000123,0.736,0.611,0.12,0.0749,93.013
52,-5.532,3.36e-06,0.695,0.599,0.305,0.00245,102.976
38,-3.574,0.0,0.5429999999999999,0.65,0.0551,0.00323,92.046
46,-4.288,2.6e-05,0.841,0.823,0.108,0.271,104.01
44,-9.504,0.0,0.777,0.952,0.0809,0.425,147.173
75,-4.695,0.0,0.84,0.619,0.309,0.102,92.018
75,-3.646,0.0,0.831,0.69,0.0572,0.181,132.109
45,-8.6,0.0,0.825,0.7609999999999999,0.239,0.0797,121.046
53,-5.812,0.0,0.682,0.708,0.11,0.235,129.937
38,-4.599,0.00237,0.799,0.6970000000000001,0.283,0.00694,127.023
60,-1.396,0.0002009999999999,0.921,0.507,0.3229999999999999,0.196,120.902
39,-8.732000000000001,5.610000000000001e-05,0.703,0.435,0.271,0.108,123.159
88,-3.112,0.0,0.792,0.794,0.0501,0.165,94.968
77,-7.522,0.0,0.596,0.6609999999999999,0.0565,0.0983,133.247
68,-3.67,0.0,0.746,0.63,0.043,0.0705,94.808
46,-4.056,0.0,0.493,0.621,0.129,0.0079,99.866
44,-5.445,0.0,0.836,0.76,0.108,0.0429,126.035
37,-4.657,0.0,0.701,0.451,0.121,0.00436,119.974
53,-8.329,0.0,0.871,0.62,0.0568,0.149,91.998
65,-5.407,0.0,0.65,0.74,0.0645,0.0507,166.16
68,-7.867999999999999,6.979999999999999e-05,0.784,0.47,0.126,0.265,90.00299999999999
59,-4.934,0.0,0.494,0.421,0.143,0.133,78.833
43,-5.612,0.0,0.561,0.294,0.0619,0.0199,84.98
53,-3.232,0.0,0.483,0.546,0.0817,0.369,185.502
54,-2.436,3.13e-05,0.62,0.4039999999999999,0.1119999999999999,0.0762,175.921
84,-4.877,0.0,0.7040000000000001,0.926,0.0215,0.0185,105.115
44,-5.732,6.890000000000001e-05,0.633,0.489,0.0966,0.586,100.934
40,-6.1770000000000005,0.0101,0.853,0.836,0.0716,0.569,92.375
41,-4.488,4.52e-05,0.8,0.813,0.0699,0.0652,105.026
37,-5.032,6.07e-05,0.743,0.434,0.2269999999999999,0.118,109.921
79,-6.596,0.0,0.6459999999999999,0.6809999999999999,0.0715,0.00249,99.165
74,-6.055,0.000234,0.8909999999999999,0.818,0.0521,0.2019999999999999,100.972
10,-5.899,0.0,0.745,0.708,0.302,0.159,129.995
60,-3.925,0.0183,0.774,0.923,0.241,0.0279,143.011
70,-2.388,0.000428,0.672,0.5489999999999999,0.242,0.342,117.298
79,-4.699,0.0,0.894,0.583,0.0388,0.0183,105.018
76,-3.363,0.0,0.375,0.478,0.211,0.071,159.841
84,-5.892,0.0,0.778,0.7559999999999999,0.405,0.284,100.024
77,-4.432,0.0,0.675,0.768,0.086,0.217,97.03
84,-5.849,0.115,0.733,0.965,0.0956,0.145,127.975
74,-6.212000000000001,1.79e-06,0.775,0.7120000000000001,0.0662,0.132,117.513
73,-4.343,0.0,0.421,0.63,0.123,0.0653,84.803
85,-7.064,0.0,0.422,0.331,0.132,0.922,119.93
78,-5.862,0.0,0.4679999999999999,0.499,0.154,0.154,79.297
78,-5.794,0.0,0.613,0.484,0.37,0.00882,80.003
69,-1.357,0.0003529999999999,0.435,0.45,0.552,0.235,188.899
75,-5.406000000000001,0.0303,0.662,0.4039999999999999,0.114,0.00165,131.0
76,-2.261,0.000532,0.728,0.965,0.175,0.103,79.52600000000001
71,-2.741,1.27e-06,0.755,0.735,0.291,0.0746,120.032
71,-5.745,3.67e-06,0.764,0.581,0.18,0.0439,146.075
77,-5.562,0.0,0.967,0.964,0.0519,0.0584,117.0
69,-4.291,0.0,0.659,0.665,0.13,0.143,86.001
76,-4.51,0.0,0.63,0.529,0.0789,0.173,94.023
65,-5.995,2.12e-05,0.8240000000000001,0.804,0.237,0.0142,127.046
73,-4.843,0.0012,0.61,0.861,0.0821,0.031,172.638
77,-5.898,7.74e-06,0.585,0.427,0.3,0.0572,77.987
80,-8.97,0.0,0.6559999999999999,0.556,0.118,0.235,94.514
73,-3.866,3.05e-06,0.457,0.0992,0.114,0.578,76.193
54,-4.934,0.0,0.701,0.625,0.0295,0.00611,122.035
75,-4.087,0.0,0.581,0.7879999999999999,0.139,0.0295,129.99200000000002
69,-2.451,0.0,0.7290000000000001,0.873,0.087,0.00761,125.011
79,-5.419,6.47e-06,0.649,0.158,0.111,0.03,89.969
67,-4.417,0.0,0.487,0.484,0.358,6.790000000000001e-05,149.937
76,-5.226,0.0,0.7240000000000001,0.235,0.0889,0.073,139.0
75,-3.2060000000000004,0.0,0.6709999999999999,0.529,0.298,0.192,129.023
72,-5.292999999999999,0.0,0.426,0.272,0.188,0.0383,193.437
81,-5.886,0.0,0.638,0.225,0.146,0.188,104.036
63,-5.957999999999999,0.2189999999999999,0.8140000000000001,0.545,0.0979,0.00727,119.011
77,-3.142,0.0,0.583,0.573,0.188,0.0208,123.052
78,-5.946000000000001,0.0,0.843,0.615,0.0771,0.142,94.946
72,-4.805,0.000125,0.711,0.8009999999999999,0.215,0.00498,128.001
62,-2.071,0.0,0.524,0.655,0.7759999999999999,0.0533,161.188
77,-5.444,1.77e-05,0.7509999999999999,0.894,0.355,0.3,95.053
77,-6.582000000000001,0.0,0.624,0.565,0.104,0.575,73.884
77,-8.966000000000001,1.07e-06,0.794,0.862,0.1009999999999999,0.0426,116.047
75,-6.162000000000001,0.0,0.68,0.467,0.261,0.0161,150.053
78,-10.96,0.00107,0.944,0.8420000000000001,0.0379,0.042,113.046
77,-6.332999999999999,0.0,0.706,0.63,0.0822,0.00577,100.013
74,-6.2620000000000005,0.0,0.53,0.349,0.107,0.407,119.964
65,-3.1060000000000003,2.26e-06,0.535,0.445,0.257,0.000304,126.012
76,-4.862,1.12e-05,0.7929999999999999,0.872,0.2019999999999999,0.236,107.661
69,-9.17,1.16e-06,0.655,0.7909999999999999,0.221,0.0825,91.025
67,-4.672,1.27e-06,0.636,0.908,0.0372,0.0407,165.071
77,-8.238,0.0,0.662,0.6759999999999999,0.0465,0.257,86.412
52,-5.908,0.0,0.555,0.682,0.1119999999999999,0.0411,116.012
60,-5.221,0.0,0.591,0.733,0.0614,0.0204,116.029
65,-4.78,0.0,0.396,0.358,0.183,0.0328,173.794
69,-2.4330000000000003,0.000206,0.56,0.67,0.209,0.0007379999999999,163.983
76,-7.519,0.00101,0.653,0.482,0.233,0.263,95.982
83,-4.08,0.0,0.64,0.361,0.1009999999999999,0.2689999999999999,122.035
69,-4.592,0.0,0.63,0.364,0.181,0.255,142.05100000000002
73,-3.318,0.0,0.519,0.29,0.119,0.271,147.905
72,-3.073,0.0,0.64,0.436,0.3389999999999999,0.107,99.931
31,-4.614,5.37e-06,0.815,0.746,0.12,0.0251,110.063
81,-9.129,6.77e-06,0.609,0.166,0.104,0.603,118.393
67,-6.192,0.0,0.551,0.354,0.127,0.0392,112.024
76,-5.412000000000001,0.0,0.3379999999999999,0.4,0.136,0.0187,151.994
63,-3.751,2.22e-06,0.517,0.922,0.183,0.3879999999999999,96.933
75,-5.362,0.0,0.583,0.136,0.123,0.254,140.039
67,-3.387,0.0,0.8059999999999999,0.961,0.212,0.0012699999999999,128.94299999999998
73,-3.127,0.0,0.494,0.893,0.139,0.0066599999999999,177.75099999999998
63,-5.13,0.0,0.423,0.462,0.133,0.0079099999999999,154.746
68,-4.932,0.0001149999999999,0.871,0.635,0.0638,0.126,125.999
73,-4.251,2.43e-05,0.584,0.5489999999999999,0.13,0.512,163.953
64,-2.602,0.0,0.423,0.5670000000000001,0.102,0.017,156.063
67,-4.012,0.0,0.423,0.505,0.178,0.00166,149.934
78,-6.251,0.0489,0.647,0.687,0.134,0.0206,94.01
48,-9.74,0.0,0.521,0.181,0.0986,0.327,106.546
68,-3.176,0.0,0.65,0.899,0.376,0.324,105.015
24,-6.191,0.00107,0.82,0.843,0.236,0.439,104.005
67,-5.158,0.000723,0.7559999999999999,0.967,0.047,0.211,118.921
29,-4.419,0.0,0.7509999999999999,0.973,0.0556,0.0838,97.007
66,-10.201,0.0,0.7190000000000001,0.964,0.183,0.0893,100.839
63,-2.972,0.00146,0.8109999999999999,0.915,0.0475,0.254,124.12
71,-3.503,3.68e-06,0.723,0.961,0.0451,0.0426,91.017
71,-4.897,0.0,0.6990000000000001,0.889,0.065,0.078,130.04
59,-7.157,0.0584,0.782,0.8590000000000001,0.1119999999999999,0.141,123.179
66,-3.57,0.0,0.585,0.8009999999999999,0.3279999999999999,0.622,138.264
58,-5.2410000000000005,0.0242,0.7440000000000001,0.905,0.131,0.833,143.542
11,-9.458,0.0247,0.5660000000000001,0.638,0.0574,0.0306,193.538
61,-6.053,0.0,0.5479999999999999,0.813,0.072,0.455,179.842
77,-4.8180000000000005,1.17e-05,0.774,0.308,0.128,0.0179,104.959
74,-6.912000000000001,0.0,0.8029999999999999,0.77,0.0608,0.419,133.679
70,-4.81,0.000128,0.82,0.906,0.35,0.135,130.993
56,-6.937,0.0537,0.696,0.963,0.0835,0.743,124.092
80,-4.79,0.0,0.659,0.863,0.123,0.208,177.93599999999998
54,-9.267,0.00015,0.6709999999999999,0.933,0.0701,0.414,119.574
60,-6.641,6.54e-06,0.5820000000000001,0.826,0.267,0.779,93.658
77,-6.499,1.2e-06,0.857,0.753,0.0789,0.332,96.009
52,-17.795,0.7909999999999999,0.816,0.8170000000000001,0.0452,0.337,90.148
51,-8.045,0.298,0.542,0.76,0.3339999999999999,0.00487,124.26
62,-12.561,4.36e-05,0.927,0.965,0.0422,0.422,103.018
57,-12.823,0.0007379999999999,0.348,0.8859999999999999,0.208,0.0699,156.509
4,-6.361000000000001,0.0,0.522,0.43,0.1159999999999999,0.318,90.02
56,-5.314,0.00316,0.779,0.6629999999999999,0.0349,0.0485,97.927
65,-5.731,1.97e-06,0.748,0.8959999999999999,0.0365,0.0854,142.942
74,-6.731,4.23e-06,0.648,0.815,0.0803,0.1989999999999999,160.075
7,-5.351,5.260000000000001e-05,0.815,0.8109999999999999,0.187,0.0151,127.052
73,-3.756,0.0,0.425,0.933,0.0555,0.00411,178.043
43,-8.461,0.00267,0.5589999999999999,0.778,0.263,0.1119999999999999,106.806
58,-17.718,1.16e-05,0.555,0.437,0.235,0.652,170.60299999999998
59,-8.564,0.00181,0.301,0.386,0.7509999999999999,0.445,176.59099999999998
7,-12.776,0.0,0.7070000000000001,0.843,0.105,0.701,126.399
52,-13.087,2.65e-05,0.66,0.914,0.15,0.491,88.95299999999999
58,-4.899,6.92e-06,0.489,0.6579999999999999,0.13,0.422,95.813
7,-14.187,0.00916,0.507,0.701,0.0973,0.83,82.809
41,-13.509,0.0,0.613,0.898,0.0696,0.259,145.278
50,-19.2,0.0007639999999999,0.66,0.362,0.111,0.888,129.91899999999998
63,-6.658,0.00585,0.5429999999999999,0.962,0.0862,0.0102,162.241
68,-6.81,0.0,0.691,0.866,0.0975,0.59,142.503
50,-5.181,0.0,0.5760000000000001,0.708,0.386,0.565,98.855
60,-7.257000000000001,0.0,0.545,0.583,0.0916,0.599,100.835
52,-16.809,2.42e-06,0.649,0.264,0.089,0.8109999999999999,119.193
42,-13.845999999999998,0.574,0.57,0.431,0.123,0.908,118.337
50,-6.851,0.0,0.39,0.446,0.2189999999999999,0.853,80.332
40,-5.814,0.0,0.337,0.851,0.298,0.386,183.117
57,-8.666,0.0,0.514,0.964,0.321,0.5479999999999999,148.806
78,-6.237,5.69e-05,0.4379999999999999,0.564,0.0842,0.00255,113.253
69,-9.168,0.00495,0.397,0.6459999999999999,0.0621,0.3279999999999999,96.333
48,-8.554,0.0572,0.735,0.8590000000000001,0.0983,0.0003799999999999,135.586
63,-14.144,0.0,0.597,0.963,0.0766,0.0289999999999999,117.835
77,-11.6,0.131,0.412,0.422,0.405,0.0484,89.74
77,-7.7,1.3800000000000002e-05,0.386,0.532,0.088,0.0112,147.207
71,-13.415,0.00877,0.547,0.505,0.0569,0.23,109.827
71,-6.441,0.0,0.573,0.963,0.0994,0.493,137.382
70,-5.968,0.0,0.55,0.965,0.1119999999999999,0.6609999999999999,159.231
71,-9.481,0.0,0.619,0.958,0.0721,0.715,127.432
61,-9.267,5.85e-05,0.51,0.934,0.201,0.0010199999999999,142.657
75,-10.164,0.0209,0.653,0.8220000000000001,0.1009999999999999,0.406,98.883
