popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
77,-8.966000000000001,1.07e-06,0.794,0.862,0.1009999999999999,0.0426,116.047
75,-6.162000000000001,0.0,0.68,0.467,0.261,0.0161,150.053
78,-10.96,0.00107,0.944,0.8420000000000001,0.0379,0.042,113.046
77,-6.332999999999999,0.0,0.706,0.63,0.0822,0.00577,100.013
74,-6.2620000000000005,0.0,0.53,0.349,0.107,0.407,119.964
76,-4.862,1.12e-05,0.7929999999999999,0.872,0.2019999999999999,0.236,107.661
77,-8.238,0.0,0.662,0.6759999999999999,0.0465,0.257,86.412
76,-7.519,0.00101,0.653,0.482,0.233,0.263,95.982
83,-4.08,0.0,0.64,0.361,0.1009999999999999,0.2689999999999999,122.035
73,-3.318,0.0,0.519,0.29,0.119,0.271,147.905
72,-3.073,0.0,0.64,0.436,0.3389999999999999,0.107,99.931
81,-9.129,6.77e-06,0.609,0.166,0.104,0.603,118.393
76,-5.412000000000001,0.0,0.3379999999999999,0.4,0.136,0.0187,151.994
75,-5.362,0.0,0.583,0.136,0.123,0.254,140.039
73,-3.127,0.0,0.494,0.893,0.139,0.0066599999999999,177.75099999999998
73,-4.251,2.43e-05,0.584,0.5489999999999999,0.13,0.512,163.953
78,-6.251,0.0489,0.647,0.687,0.134,0.0206,94.01
71,-3.503,3.68e-06,0.723,0.961,0.0451,0.0426,91.017
71,-4.897,0.0,0.6990000000000001,0.889,0.065,0.078,130.04
77,-4.8180000000000005,1.17e-05,0.774,0.308,0.128,0.0179,104.959
74,-6.912000000000001,0.0,0.8029999999999999,0.77,0.0608,0.419,133.679
80,-4.79,0.0,0.659,0.863,0.123,0.208,177.93599999999998
77,-6.499,1.2e-06,0.857,0.753,0.0789,0.332,96.009
74,-6.731,4.23e-06,0.648,0.815,0.0803,0.1989999999999999,160.075
73,-3.756,0.0,0.425,0.933,0.0555,0.00411,178.043
78,-6.237,5.69e-05,0.4379999999999999,0.564,0.0842,0.00255,113.253
77,-11.6,0.131,0.412,0.422,0.405,0.0484,89.74
77,-7.7,1.3800000000000002e-05,0.386,0.532,0.088,0.0112,147.207
71,-13.415,0.00877,0.547,0.505,0.0569,0.23,109.827
71,-6.441,0.0,0.573,0.963,0.0994,0.493,137.382
71,-9.481,0.0,0.619,0.958,0.0721,0.715,127.432
75,-10.164,0.0209,0.653,0.8220000000000001,0.1009999999999999,0.406,98.883
81,-7.516,0.00806,0.64,0.6629999999999999,0.152,0.201,132.77
71,-5.27,0.578,0.5329999999999999,0.486,0.0698,0.0087599999999999,108.9
73,-9.785,0.0,0.552,0.667,0.0501,0.352,112.442
72,-6.836,0.0,0.483,0.562,0.1889999999999999,0.7290000000000001,95.261
71,-5.787000000000001,2.1600000000000003e-05,0.413,0.44,0.0905,0.369,124.618
72,-12.59,6.57e-05,0.684,0.784,0.118,0.475,115.078
74,-5.549,0.0,0.49,0.866,0.311,0.386,130.726
74,-11.83,0.0,0.332,0.315,0.0886,0.879,96.529
72,-12.621,0.000138,0.299,0.434,0.177,0.0748,139.539
71,-8.232999999999999,0.0,0.523,0.675,0.432,0.778,70.863
